SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,OWN_CAR_AGE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3
100011,0,Cash loans,M,N,Y,0,104974.28446397613,438836.67184660275,18262.049798497035,415700.7770317797,Commercial associate,Secondary / secondary special,Separated,House / apartment,-20627,-1015,,1,2,,0.5437204652585208,0.14398380486529316
100012,0,Revolving loans,F,N,Y,2,160577.15311962797,344650.19099160325,16653.375571255612,297569.63925016066,Pensioner,Incomplete higher,Married,House / apartment,-8328,365243,,4,3,0.407181692435205,0.754511298332977,0.4302921249546568
100013,0,Cash loans,M,Y,Y,0,187672.58260577655,919437.2070353935,54407.209923134586,826337.7054635567,Working,Secondary / secondary special,Married,House / apartment,-8665,-783,3.0,2,2,0.569567142997709,0.5058046525354053,0.438705528762905
100014,0,Cash loans,M,N,N,0,45347.904351066354,270958.8332444621,11255.579122513096,235012.64469247466,Working,Secondary / secondary special,Married,Rented apartment,-9152,-339,,2,1,0.46822745301563745,0.4979297249507521,0.5870743156104778
100015,0,Cash loans,F,N,N,0,43609.58396337863,191429.83319657884,7911.525037684253,171232.15088163374,Pensioner,Secondary / secondary special,Married,House / apartment,-22555,365243,,2,2,,0.6876672542796171,0.449436097290642
100016,0,Cash loans,F,Y,Y,0,80900.59141209278,395905.3217930859,18293.161411312987,377068.2299724575,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-10576,-2656,12.0,2,2,,0.8155849677192202,0.5079967295339569
100017,0,Cash loans,F,Y,N,0,123386.66255343612,463408.7138294171,27114.10919222435,446996.6918021374,State servant,Higher education,Married,House / apartment,-11014,-77,2.0,2,2,0.4617436261547772,0.41899017837324554,0.6027458406042702
100018,1,Cash loans,M,N,Y,0,138383.57428069002,646202.7640827537,51024.60830394788,563327.396648743,Working,Secondary / secondary special,Civil marriage,With parents,-8743,-1825,,2,2,,0.79572238293321,0.5247878318492692
100019,0,Cash loans,F,Y,N,0,56855.64116344726,261940.83504233588,11456.394537628012,251969.6085470329,Working,Secondary / secondary special,Single / not married,House / apartment,-22510,-8214,22.0,1,2,0.8694805312097599,0.9414281552988538,0.30754024561356264
100020,0,Cash loans,F,Y,Y,0,120283.67293093908,637066.0650121311,41331.83446142205,549560.5481400726,Commercial associate,Secondary / secondary special,Separated,House / apartment,-9154,-1084,1.0,1,2,0.4042873085524061,0.5498729600944491,0.22853954174581542
100021,0,Cash loans,F,N,Y,1,128550.94328469323,622875.3853545983,37299.60254110666,549676.375007316,Working,Higher education,Married,House / apartment,-19322,-4747,,3,2,0.49361113077168844,0.650986828450579,0.30240669804686976
100022,0,Cash loans,F,N,Y,2,87123.0089495264,435283.81841289724,18458.737333797937,402658.85985991056,Working,Higher education,Married,House / apartment,-13807,-2346,,4,1,,0.7737227594820456,0.45536558197325433
100023,0,Cash loans,M,N,Y,0,102002.72655143907,431119.00935489935,17833.528940906355,429260.79660229787,Pensioner,Secondary / secondary special,Separated,House / apartment,-12646,365243,,1,3,0.4987235415988286,0.3602783470289855,0.6091105516495771
100024,0,Cash loans,M,N,Y,0,92665.32031112644,364921.5675552537,17834.973809062703,363474.13895948976,Pensioner,Higher education,Married,Co-op apartment,-21758,365243,,2,2,,0.24758713709234828,0.6838792530199603
100025,0,Cash loans,F,N,N,1,168072.4059292422,644535.1508550497,43435.24384610834,594101.4604632197,Commercial associate,Secondary / secondary special,Separated,House / apartment,-13836,-2279,,2,3,0.2747595867800205,0.4801986729830969,0.4479318322897869
100026,0,Cash loans,F,N,Y,0,133710.8300002737,477086.0822675626,37449.126016365844,463130.3755187245,Working,Secondary / secondary special,Married,House / apartment,-8142,-1489,,2,2,0.5031115040085321,0.7356694208637605,0.5693816281494769
100027,0,Cash loans,M,N,N,1,75271.59855673523,230640.53713679887,14355.784205867049,215188.46411905353,Commercial associate,Secondary / secondary special,Married,House / apartment,-11163,-2131,,3,2,0.11785918891994847,0.6548237130484396,0.5280428195934553
100028,0,Cash loans,F,Y,Y,0,214813.0458221192,458248.67873807886,19168.950668306003,441181.0391323029,Working,Secondary / secondary special,Married,House / apartment,-14956,-769,10.0,2,2,0.44716794957228867,0.7319878767009188,0.297454597115802
100029,0,Cash loans,F,Y,Y,2,67262.19942344801,315081.871990767,15854.610965045353,298685.9038301317,Working,Secondary / secondary special,Married,Rented apartment,-9525,-1390,14.0,4,1,0.07533540316362797,0.5889833269056498,0.3740017966742989
100030,0,Cash loans,F,N,Y,0,56587.628513559954,317108.2865962077,24637.059612017496,302703.7805065839,Working,Lower secondary,Married,Rented apartment,-9479,-2123,,2,2,0.354368224665863,0.8474646495613268,0.6824855165654645
100031,0,Cash loans,F,N,N,0,117880.26020674277,674502.567871956,27317.908113023404,617804.7805429026,Working,Secondary / secondary special,Married,House / apartment,-11258,-2726,,2,3,,0.7020632022887642,0.4382709025835907
100032,0,Cash loans,F,Y,Y,0,117581.87581228069,508217.88961946237,32571.718031599383,495495.9335842822,Working,Higher education,Married,House / apartment,-16946,-8694,14.0,2,3,0.16076438047793104,0.8050516171153902,0.6621001971794379
100033,0,Cash loans,M,Y,Y,0,138191.19980972173,328417.80298597185,15487.105233322878,301109.2650524943,Working,Secondary / secondary special,Married,House / apartment,-19832,-5005,0.0,2,2,,0.5536704229761624,0.4609768492965916
100034,0,Revolving loans,F,N,N,2,73816.64265916221,407073.4819995779,17361.050633148567,389107.3772397683,Commercial associate,Higher education,Single / not married,House / apartment,-19029,-11021,,3,2,0.5650479104806485,0.6317937836974993,0.42451291261630597
100035,0,Revolving loans,M,Y,Y,2,208259.51154221958,1039418.9589038711,52155.392277968,1019188.915483746,Working,Secondary / secondary special,Single / not married,House / apartment,-7740,-797,28.0,3,2,0.7393857235039271,0.588603811417903,0.22236523828602175
100036,0,Cash loans,F,N,Y,1,314069.2944296622,943980.5584960412,73139.1742896383,895211.4610129955,Commercial associate,Secondary / secondary special,Separated,House / apartment,-15360,-4844,,2,2,0.7131669803283038,0.5307663220491672,0.6076235194204553
100037,1,Cash loans,F,Y,Y,0,131817.78205935343,687321.6116985455,48435.80499367726,636779.2468823954,Working,Higher education,Civil marriage,House / apartment,-15178,-6465,0.0,2,2,0.6108258521448646,0.46509809706655,0.258727552049585
100038,0,Cash loans,M,Y,Y,1,156061.46348643038,606771.9315850089,28426.537699525932,563841.345211454,Working,Higher education,Married,House / apartment,-11518,-437,10.0,3,2,,0.41583499168617744,0.5113025957652433
100039,0,Cash loans,F,N,Y,0,46278.34855395889,256862.0706921774,10949.546873328765,245642.9504264545,Pensioner,Higher education,Married,House / apartment,-17894,365243,,2,2,0.4855352851172058,0.7705910132924538,0.3022228107469299
100040,0,Cash loans,F,N,N,2,107211.09558201431,320608.74868285935,19148.628017975843,276949.6149267152,Working,Secondary / secondary special,Married,House / apartment,-12094,-1432,,4,2,,0.6204128357652757,0.42392184387633114
100041,0,Cash loans,F,N,N,0,94089.50156426866,489606.35861532367,20615.58199573842,462914.5978739641,Working,Secondary / secondary special,Married,House / apartment,-24652,-6794,,2,3,0.2517293952390905,0.21661311912882897,0.3113212381250098
100042,0,Cash loans,F,N,Y,0,86764.05082014459,420600.99290683924,23621.955573549407,381165.1617702667,Working,Secondary / secondary special,Married,House / apartment,-19594,-7998,,2,2,0.17028604216426008,0.6826489078862962,0.3986125526577598
100043,0,Cash loans,M,N,Y,1,95918.06263387474,197376.80238232302,14213.11358673749,171773.80480427953,Pensioner,Higher education,Married,House / apartment,-23410,365243,,3,3,,0.4121361012297844,0.5578218293826688
100044,0,Revolving loans,F,N,Y,1,100825.08342971138,428843.2026022636,25741.97356582908,423216.6972585713,Working,Higher education,Married,With parents,-8681,-365,,3,2,0.7988156799681645,0.2988775073520785,0.5775973233312401
100045,0,Cash loans,M,N,Y,1,64378.404211322,313016.6283162812,23749.707328252727,289428.9802252457,Commercial associate,Secondary / secondary special,Separated,House / apartment,-14207,-7546,,2,3,,0.4989115696871096,
100046,1,Cash loans,F,N,Y,0,104439.79061173563,274221.62128870166,19648.05970079744,251885.80848224356,Working,Secondary / secondary special,Married,House / apartment,-9092,-2383,,2,2,,0.33600803963226716,
100047,0,Cash loans,F,Y,Y,1,79154.68727028088,326718.55012263125,20325.404000549,304292.7921840325,Working,Higher education,Married,House / apartment,-18529,-5236,6.0,3,3,,0.9008930408497459,
100048,1,Cash loans,M,N,Y,0,197632.92527917094,635649.0782166348,45522.749653696716,599659.6332014842,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-10218,365243,,1,2,,0.38912173761678776,0.46819654890795476
100049,0,Cash loans,M,N,Y,0,157182.81749592148,752121.6144555378,32938.91374023505,661261.6365507125,Pensioner,Secondary / secondary special,Married,House / apartment,-12571,365243,,2,2,0.3539283880732907,0.38081189294033874,0.5362182953597833
100050,0,Cash loans,F,Y,N,0,157290.54932274643,654416.6501654749,31447.643958857967,617653.9696679864,Working,Secondary / secondary special,Single / not married,House / apartment,-16365,-8774,21.0,1,2,,0.4155584536092498,0.48539309210801257
100051,0,Revolving loans,F,Y,N,1,217160.76120718726,974146.686835113,66258.3588520989,879525.5186114978,Pensioner,Secondary / secondary special,Married,Rented apartment,-23944,365243,5.0,3,2,0.4455750731299477,0.3755706663000373,0.6094182728029082
100052,0,Cash loans,F,Y,Y,0,88155.75178268466,201890.71913849373,8121.8211359188945,193252.0803701758,Working,Secondary / secondary special,Married,House / apartment,-23818,-15043,24.0,2,2,0.3590591613758852,0.48269957319788015,0.48770030367131934
100053,0,Revolving loans,M,N,N,0,152496.1321802648,389045.1680142639,15634.624392444981,375732.032810243,Working,Incomplete higher,Civil marriage,House / apartment,-16006,-3506,,2,2,0.5159809388958243,0.7756501955528626,0.5478019116095345
100054,0,Cash loans,M,Y,Y,0,227546.5001233766,957596.8435351462,52872.424117433955,815032.3533021575,Working,Secondary / secondary special,Married,House / apartment,-14352,-4244,9.0,2,2,0.6377552079672044,0.36691118066947126,
100055,0,Cash loans,M,Y,Y,1,85128.69694292636,231949.43935824407,17322.69453877484,222080.221942281,Commercial associate,Higher education,Single / not married,House / apartment,-13471,-323,0.0,2,2,,0.7562609471098904,0.2731362609721673
100056,0,Revolving loans,F,N,N,0,48310.99109356422,192991.04110995785,15291.451227062902,174246.91266289752,Working,Higher education,Civil marriage,House / apartment,-24141,-8996,,2,1,0.5884566038270094,0.36157167511154525,
100057,1,Cash loans,M,N,N,0,94339.35458010284,449066.3839689965,29635.423378355277,402164.58051024075,Commercial associate,Secondary / secondary special,Widow,House / apartment,-20453,-7091,,1,2,,0.6012681576882554,0.7054183880645561
100058,0,Cash loans,F,Y,Y,0,214971.42972596086,1126253.9875137797,87860.22790692154,1020312.5188551662,Working,Secondary / secondary special,Married,House / apartment,-17230,-8896,10.0,2,3,0.5343636279552426,0.4967576824715469,0.29773156816416696
100059,0,Cash loans,F,N,Y,0,82740.55478988608,212810.95945114896,15728.206324188184,199264.63747356253,Working,Secondary / secondary special,Married,House / apartment,-9257,-231,,2,2,0.6583483099433102,0.5582178918108628,0.4359160519713231
100060,1,Cash loans,F,Y,N,0,105603.88067855623,524588.9108192575,25211.36691506108,454914.01336283004,Commercial associate,Secondary / secondary special,Married,House / apartment,-10223,-2218,0.0,2,2,,0.6633492853258998,0.20398182570151147
100061,0,Cash loans,M,N,Y,1,90233.17789983423,311552.09406911547,17496.215436412298,297450.49291195726,Pensioner,Secondary / secondary special,Married,House / apartment,-22368,365243,,3,2,,0.7503365984605942,
100062,0,Cash loans,M,N,Y,0,121154.65961657278,571332.8907618538,37108.56493935619,523783.7470357757,Commercial associate,Secondary / secondary special,Married,House / apartment,-24192,-14556,,2,2,,0.6959103637985838,0.7754122316860557
100063,0,Cash loans,F,N,N,0,78885.19554967679,203613.6177212393,9376.91584901812,177953.349940329,Working,Secondary / secondary special,Separated,House / apartment,-21568,-6224,,1,2,,0.5405291036891504,0.43161548618355355
100064,0,Cash loans,F,N,Y,0,63477.314697376765,257762.37793453925,13538.753001622345,238792.85073631254,Pensioner,Secondary / secondary special,Married,House / apartment,-15049,365243,,2,3,0.7464793837621732,0.6156243271127302,
100065,0,Cash loans,M,Y,Y,0,106892.24478110936,571900.1366486577,40179.14799261217,535364.0009325091,Working,Secondary / secondary special,Widow,House / apartment,-11816,-2946,3.0,1,2,0.3546366266650995,0.478758538445096,0.7020578002176614
100066,0,Cash loans,F,N,N,0,116400.90701346404,282356.6691555753,15186.916580531868,254669.75282638252,Commercial associate,Secondary / secondary special,Married,House / apartment,-9991,-2254,,2,3,0.3002251750240628,0.6862181662943999,0.22232567525235267
100067,1,Cash loans,F,Y,Y,2,232871.1737336804,1236714.3060138442,95273.16958127561,1218095.6487998727,Commercial associate,Secondary / secondary special,Married,House / apartment,-10247,-264,2.0,4,3,0.5689194128308563,0.8315185585951024,
100068,0,Cash loans,M,Y,Y,0,137741.0961874176,524941.4529719182,29539.01909818759,501100.87179252337,Working,Lower secondary,Married,House / apartment,-13966,-3380,18.0,2,2,0.17370445886424837,0.5398656750962469,0.7020919087835045
100069,0,Cash loans,M,N,Y,0,74172.0338151254,392598.9842548943,19155.060529900435,372654.25171653595,Commercial associate,Secondary / secondary special,Married,House / apartment,-20446,-3219,,2,2,,0.7210931930778857,0.3541295823655476
100070,0,Revolving loans,F,N,Y,0,92425.57826796334,539169.3097560208,26098.354773017072,462608.1556452236,Working,Secondary / secondary special,Civil marriage,House / apartment,-20013,-12281,,2,2,0.4156377623811362,0.34090779045852976,0.46497169385300663
100071,1,Cash loans,F,N,Y,0,190374.1073025282,502323.10650224716,33901.07896729294,464771.6673812201,State servant,Secondary / secondary special,Civil marriage,House / apartment,-15291,-8222,,2,2,0.5066310950957462,0.33797609635431825,0.3199087688686502
100072,0,Cash loans,F,Y,Y,0,107806.35122737796,506504.2554047945,27718.98890454769,495167.7358022786,Working,Secondary / secondary special,Civil marriage,House / apartment,-14118,-5772,16.0,2,2,,0.6404792428876792,0.5252297784435765
100073,0,Cash loans,F,N,Y,2,77145.34768599794,226837.0860658913,11226.185030281033,215550.83715754605,Pensioner,Secondary / secondary special,Married,House / apartment,-14411,365243,,4,3,0.3057550094873445,0.781683320501355,0.4112317811199872
100074,0,Cash loans,M,Y,Y,0,138852.085032761,352992.1451465383,23916.86152090071,312372.4003795116,Working,Secondary / secondary special,Married,House / apartment,-21435,-1889,2.0,2,2,0.5103514070802037,0.707791734908842,0.6936694808329448
100075,1,Cash loans,F,N,Y,0,89774.46982793824,405092.0679290997,23031.874517180055,396659.106658751,Working,Secondary / secondary special,Separated,House / apartment,-10071,-3488,,1,2,0.40601677502030253,0.621725323142621,
100076,0,Cash loans,M,Y,Y,1,169239.882874895,411580.3149818233,30390.969210430812,372657.71414306824,Commercial associate,Secondary / secondary special,Married,House / apartment,-9996,-206,3.0,3,2,,0.606621055258398,0.9073972652340232
100077,0,Cash loans,F,Y,Y,1,159768.80359765425,616817.8671759624,38217.496714972476,608955.3141105699,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-9468,365243,0.0,3,3,,0.4648268521852872,0.5573138288950346
100078,0,Cash loans,F,Y,Y,0,75080.02917154628,341149.94004394056,26912.31591331602,316191.3914112874,Commercial associate,Higher education,Married,House / apartment,-23370,-15731,10.0,2,1,,0.5563157669042543,0.43154107731040386
100079,0,Cash loans,F,N,Y,0,325293.87313542,1300695.0048148725,71509.83602907599,1259061.9677610067,Working,Secondary / secondary special,Married,House / apartment,-8769,-535,,2,1,0.8941623672801347,0.5868583296236418,0.25296328677970054
100080,0,Cash loans,M,Y,Y,0,125307.44765480477,600006.7832538583,30770.853200851452,565082.2194430021,Working,Higher education,Single / not married,House / apartment,-19391,-2834,8.0,1,2,,0.674583975756399,0.6234880498781329
100081,0,Cash loans,F,N,N,1,35175.7569652841,183112.60931221631,12045.536158876785,163649.08797365878,Commercial associate,Higher education,Married,House / apartment,-15918,-5207,,3,2,,0.40253050049934397,0.592644787249793
100082,0,Cash loans,F,Y,N,0,161180.05590459256,884715.0205335314,60456.63114683993,838774.4410675989,State servant,Higher education,Civil marriage,House / apartment,-9820,-1915,2.0,2,1,0.5804649983511718,0.3192276978675132,0.3270581007996937
100083,1,Cash loans,F,Y,Y,0,36346.88098500121,154092.20295366642,6268.276494896598,131199.48701777955,Working,Secondary / secondary special,Married,House / apartment,-15216,-4361,7.0,2,2,0.43610098950289927,0.5528547348484318,0.36896534068848685
100084,0,Cash loans,F,N,Y,1,224115.0936690429,696218.4429290716,46490.213385227726,679008.1381581337,Working,Higher education,Civil marriage,House / apartment,-12618,-5176,,3,2,,0.25737568878316075,0.15059517053041044
100085,0,Cash loans,F,N,Y,0,137108.95928559883,553734.7518909149,26158.89717806785,550896.6112164959,Working,Secondary / secondary special,Civil marriage,House / apartment,-15464,-100,,2,2,0.361466478035871,0.778650880562657,
100086,0,Cash loans,F,Y,Y,0,123860.23085011958,439797.2633333773,34460.10326420903,387486.32107072615,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23052,365243,2.0,1,3,0.6772466428706864,0.29575614471388956,0.1312036792889761
100087,0,Cash loans,F,Y,Y,0,127730.15062149586,370890.3395898286,23381.027392720818,364416.6368187822,Working,Secondary / secondary special,Married,Rented apartment,-11023,-1307,12.0,2,2,0.4251313280050808,0.6935633359978879,0.7160621284422934
100088,0,Cash loans,F,N,Y,0,171248.70134807526,704905.7730677322,31766.99885303226,616916.1233370643,Commercial associate,Secondary / secondary special,Married,House / apartment,-12701,-4768,,2,2,0.4743109517379239,0.45379355627866114,0.34293420564573657
100089,0,Cash loans,F,Y,Y,2,100450.70892571822,210004.20594817257,8843.011239481026,193985.5541362228,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-21789,365243,2.0,4,2,0.8362111005013528,0.6188725283845575,0.45050501863960307
100090,0,Cash loans,F,N,N,0,127077.72974288823,561970.7100254489,42251.28407176332,502339.79833326215,Pensioner,Higher education,Married,House / apartment,-18188,365243,,2,2,,0.7156833801664159,0.3364057633062977
100091,0,Cash loans,F,Y,Y,0,135494.5347391218,716280.3643614941,53022.62545953633,629449.4749603148,Working,Secondary / secondary special,Civil marriage,House / apartment,-10659,-2210,2.0,2,2,0.4610500372010332,0.660590162703942,0.4134205140831826
100092,0,Cash loans,F,N,N,2,30243.06318391946,181390.1169458839,10405.22635464042,174742.73315830453,Pensioner,Secondary / secondary special,Married,House / apartment,-23614,365243,,4,2,,0.37161961580529107,0.5920545012292157
100093,0,Cash loans,F,Y,Y,0,171897.1357520587,977530.2436422781,42522.56494498981,949172.5193842916,Pensioner,Secondary / secondary special,Married,Rented apartment,-16048,365243,0.0,2,2,0.10677813520678228,0.888662882145251,
100094,1,Cash loans,M,N,Y,0,187035.05029092988,441264.9981039986,24534.023560813643,430583.1109760459,Pensioner,Secondary / secondary special,Married,With parents,-23905,365243,,2,2,,0.6422996189161874,0.4449804191934202
100095,0,Cash loans,F,N,Y,0,160125.84266280936,424288.2505154362,29878.879871692658,361184.67948863615,Commercial associate,Secondary / secondary special,Widow,House / apartment,-7983,-251,,1,2,,0.8490070225762053,0.5146471576068034
100096,0,Cash loans,F,N,N,2,154563.22813766953,394843.89816798427,26241.23193997919,385832.10194098175,Working,Secondary / secondary special,Single / not married,House / apartment,-14835,-3689,,3,1,0.7063935520983149,0.6827305249537714,0.25141303462500986
100097,0,Cash loans,F,N,Y,1,283715.16849804233,1201081.5565774562,89608.62277951422,1030189.1519673546,Pensioner,Secondary / secondary special,Widow,House / apartment,-15082,365243,,2,2,0.5177188218636729,0.5532048783472647,
100098,0,Cash loans,M,N,Y,0,124925.52641028578,272805.35184759786,19109.38340154136,250234.08084765926,Commercial associate,Secondary / secondary special,Married,House / apartment,-13058,-344,,2,3,,0.5719710424238443,0.6036594170057871
100099,0,Cash loans,M,Y,Y,0,127094.26572323998,730534.1454475338,38868.35668734168,640161.4800181768,Working,Secondary / secondary special,Widow,House / apartment,-12170,-1107,6.0,1,2,,0.36054606051477417,0.41806031664009907
100100,0,Cash loans,M,Y,N,2,92173.23303874115,207145.20935998677,11112.372718734772,204246.67445055832,Working,Higher education,Married,House / apartment,-11270,-3118,3.0,4,2,0.42434904215315883,0.6381227816282592,0.4758464273387919
100101,0,Cash loans,F,N,Y,0,49051.74498821276,174869.57984508455,11525.691060982519,163766.7330781777,Commercial associate,Secondary / secondary special,Married,Rented apartment,-17971,-1879,,2,2,,0.5367335197637457,
100102,0,Cash loans,F,N,Y,0,160567.4004681808,895304.4397089883,46920.137028844154,823920.2585396556,Commercial associate,Secondary / secondary special,Married,House / apartment,-23827,-9410,,2,2,,0.5462069359103514,0.3835225183951522
100103,0,Cash loans,M,Y,N,0,97285.51281898773,563624.9106601527,42106.39021856121,516633.59514856257,Commercial associate,Secondary / secondary special,Married,House / apartment,-20347,-7446,1.0,2,2,0.6640287985302146,0.7577903975261586,0.5788213453809846
100104,0,Cash loans,M,N,Y,1,48784.78769969286,188366.02416138785,10003.75654216636,171538.52293551655,State servant,Secondary / secondary special,Single / not married,House / apartment,-12354,-670,,2,2,0.3405083491035534,0.45032863081337876,0.1442261233731961
100105,0,Revolving loans,F,N,Y,2,122995.85448875683,486291.93098033406,28962.244386411036,447918.43581281556,Working,Secondary / secondary special,Single / not married,House / apartment,-17418,-10130,,3,3,0.48813224104482106,0.7391784280127055,0.30528222043835485
100106,0,Cash loans,M,N,Y,1,121288.8122038001,551222.2805904289,23002.011569085586,515306.746969535,State servant,Secondary / secondary special,Married,House / apartment,-19529,-8061,,3,2,0.47660358436315814,0.3506929688677884,0.35029495162290547
100107,0,Cash loans,M,N,N,2,113824.85241571069,413247.410654894,18481.919151466427,401908.02591713297,Working,Secondary / secondary special,Married,House / apartment,-16285,-7976,,4,3,0.3584588270004526,0.27583100488496987,0.5275815471989355
100108,0,Cash loans,F,N,Y,1,136671.35325587497,450830.3058077689,20411.71945477556,399278.8895995031,Commercial associate,Secondary / secondary special,Married,House / apartment,-17835,-6046,,3,2,0.5832942245314476,0.6576218748282862,
100109,0,Cash loans,F,Y,Y,0,58513.72942430618,290093.98731968796,15596.967105443724,281581.510772485,Pensioner,Incomplete higher,Widow,House / apartment,-17722,365243,2.0,1,1,0.9384605931106602,0.23262156302939033,0.13769000532416703
100110,0,Cash loans,F,N,N,0,209729.6624731205,918916.5101125777,41043.449450204556,895550.9950078317,Working,Secondary / secondary special,Married,House / apartment,-19664,-9871,,2,2,,0.4629588102343618,0.728755891018181
100111,0,Cash loans,F,N,Y,1,158619.89846144864,622850.2773900157,36302.406841908414,608953.2626421789,State servant,Higher education,Single / not married,House / apartment,-15142,-4596,,2,2,,0.5412286232328487,0.378446788403931
100112,0,Cash loans,M,Y,N,0,237728.6801635103,571297.5209435199,29002.60321765322,566290.3832686273,Pensioner,Secondary / secondary special,Married,House / apartment,-20118,365243,2.0,2,2,,0.43555834548156414,0.4860394711834043
100113,0,Revolving loans,F,N,Y,1,96780.33235379965,220218.4665895946,11208.734888438754,218784.3995973874,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-22788,365243,,3,2,0.5438181293329487,0.3983356916457372,0.19316172255984604
100114,0,Cash loans,M,N,Y,1,158354.84250732348,640269.9433132518,37020.442946657015,554594.6348637443,Working,Higher education,Married,House / apartment,-12537,-3054,,3,3,0.724826743964317,0.5517429954851576,0.5145986407749005
100115,0,Cash loans,M,Y,Y,0,50170.10939707692,224648.04738992674,16658.45830983472,220527.25050350936,Working,Secondary / secondary special,Single / not married,House / apartment,-12907,-1134,6.0,1,2,,0.6691631860588825,0.22161869320319852
100116,0,Cash loans,F,Y,N,0,84186.718080431,389788.4527653499,27468.084719002054,380753.14537958143,Working,Secondary / secondary special,Married,House / apartment,-14112,-274,2.0,2,2,,0.7560991667107282,0.8028890183758475
100117,1,Cash loans,F,Y,Y,0,64307.21336767236,358805.9831783751,27035.682532664545,325297.37902784115,Working,Secondary / secondary special,Single / not married,House / apartment,-11138,-1130,4.0,1,2,0.18380004430440744,0.5316859541717862,0.527151381477038
100118,0,Cash loans,M,N,Y,0,145428.43361553908,765666.0808110498,60952.396980626356,730218.3246885015,Commercial associate,Secondary / secondary special,Married,House / apartment,-24249,-3284,,2,2,,0.5618384824120237,0.19784457242736797
100119,0,Cash loans,M,N,Y,1,73517.75238915515,188429.59847039374,7620.862254933802,186358.03861945742,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-16092,-6329,,2,2,0.7217836442616598,0.8084776044542162,0.387352530234023
